Número inscripción,,Denominación social,,
1607,,SOCIEDAD ANÓNIMA TRABAJOS Y OBRAS,,
1033,,"JOMI, S.A.",,
703,,"CONSTRUCCIONES LAUKI, S.A.",,
1509,,"ECOLOGRAF, S.A.",,
1861,,"RTO PUBLICIDAD, S.L.",,
1948,,"AUTOS AI, S.A.",,
1573,,NUÑO Y PESCADOR SA,,
2069,,"OFYDE SISTEMAS, S.L.",,
1527,,"J.M. VIGIOLA, S.A.",,
878,,"ELECTRA VITORIA, S. COOP.",,
1918,,"FLASH IMPRESIÓN, S.L.",,
1879,,"SABICO SERVICIOS AUXILIARES, S.A.",,
6252,,FUNDACION ETORKINTZA,,
1572,,"AGENCIA DE SERVICIOS GENERALES LLODIO, S.L.U.",,
1710,,"EMPRESA DE SERVICIOS SOCIALES MAITEDER, S.L.",,
1802,,"VIAJES EROSKI, S.A.U",,
1634,,"SUMINISTROS MÉDICOS EASO, S.L.",,
1581,,"YOR, S.A.",,
2170,,"ASOCIACIÓN EDUCATIVA PARA MENORES EN RIESGO ""GAZTAROAN EKIN""",,
2092,,"BALEUKO, S.L.",,
1887,,"SERVICIOS SOCIALES INTEGRADOS, S. COOP.",,
252,,"PUBLISAL CARAT, S.A.",,
1738,,"SOCIEDAD PARA INVESTIGACIONES Y APLICACIONES INDUSTRIALES, S.A. (SIAISA)",,
,,,,
1798,,"HEGALA, S. COOP.",,
464,,"CONSTRUCCIONES LOIZATE, S.A.",,
131,,"UNIÓN INTERNACIONAL DE SERVICIOS INTEGRALES UNI2, S.A.",,
1858,,"LURGINTZA, S.L.",,
2276,,"BASALDE BI, S.A.",,
483,,"SISTEMAS E INSTALACIONES DE TELECOMUNICACIÓN, S.A.",,
2755,,"INDUMETAL RECYCLING, S.A.",,
2070,,"SELE DIGITAL, S.A.",,
2151,,"OXIMESA, S.L.",,
2111,,"EXCAVACIONES Y CONSTRUCCIONES SAN MARTÍN, S.L.",,
1079,,"INSTALACIONES HERMANOS CALVO, S.A.",,
1510,,FRANCISCO MANUEL SÁNCHEZ TOCÓN,,
1891,,"INDUSTRIAS DE ÓPTICA, S.A.",,
2067,,"MINTEGUI SERVICIOS, S.L.",,
1477,,AUTOCARES IPARRAGUIRRE SL,,
2053,,INITEK INGENIEROS SOCIEDAD LIMITADA,,
2051,,"ARITEKO, S. COOP.",,
583,,"PALEX MEDICAL, S.A.",,
1761,,"TRESER CONTROL DE PLAGAS, S.L.",,
2518,,"DIGITAL MOBILES, S.L.",,
2464,,"EUGAMED, S.L.",,
1048,,"AZSE, S.A.",,
1981,,ASOCIACIÓN HEBER. HEZKUNTZATIK BERDINTASUNERA-EDUCACIÓN PARA LA IGUALDAD,,
1698,,"GESTIÓN EMPRESARIAL DE BIENES Y SERVICIOS, S.A.",,
2924,,"GESTIKER, ESTUDIOS DE MERCADO Y OPINIÓN, S.L.",,
,,,,
2835,,"PROMOCIONES Y CONSTRUCCIONES URDELAR-1, S.L.",,
3127,,"ESTEBANEZ NAVARRO Y ASOCIADOS DESARROLLADORES MULTIMEDIA, S.L.",,
2944,,"S.E.C. SERVICIOS Y EQUIPOS CANINOS, S.L.",,
2977,,"REDYTEL INGENIERÍA DE TELECOMUNICACIONES, S.L.",,
2973,,"MOUSE MULTIMEDIA, S.L.",,
2975,,"FERRETERIA Y SUMINISTROS INDUSTRIALES ONDIZ, S.A.",,
3309,,"EMTE NORTE, S.L.",,
2473,,BIZKAIKO BASALAN AKZIOZKO BALTZUA A.B. S.A.,,
2714,,"MONTAJES ELECTRICOS MONTELEC, S.L.",,
3132,,"ROMARATE Y ASOCIADOS ARQUITECTURA Y GESTIÓN, S.R.L.",,
3173,,CLÍNICA EUSKARRI S.L.UNIPERSONAL,,
2710,,"ABAROA, S.A.",,
3108,,"PHARMION, S.L.",,
2813,,"ORIO PRODUKZIOAK, S.A.",,
2915,,"NAIDER ANALISIS Y ACCIÓN SOCIOECONÓMICA, S.L.",,
4330,,"ESTUDIOS E INGENIERÍA TÉCNICA GETXO, S.L.",,
2936,,DINALAN S. L.,,
3007,,"SOLA, TORRES, VIDAURRAZAGA ARQUITECTOS S.L.P",,
2660,,"LABORATORIOS MENARINI, S.A.",,
3041,,"RESTAURACIÓN DOCUMENTAL, S.L.",,
8169,,RAUL PARIS PALACIOS,,
3210,,"MONTAJES ELÉCTRICOS VITORIA-GASTEIZ, S.L.",,
2994,,"AYSER DESARROLLOS INFORMÁTICOS, S.L.",,
2893,,"BANATU, S.L.",,
2925,,"CARPINTERÍA DEL BIDASOA LAISTER, S.L.",,
,,,,
3728,,"NOVO NORDISK PHARMA, S.A.",,
3082,,HEGALDI S.L.,,
2777,,"SOGETI ESPAÑA, S.L.",,
2812,,"ALBISA ENGINEERING FOR LANGUAGE AND ELECTRONIC DOCUMENTS, S.L.",,
2933,,"PRISMAGLOBAL SERVICIOS Y PROYECTOS, S.L.",,
2344,,GESYPRO CONSTRUCCIONES Y PROMOCIONES 2000 S.L.,,
2121,,"TEG DISEÑO Y CREATIVIDAD DIGITAL, S.L.",,
2317,,"LIMPIEZAS ARRATIA, S.L.",,
2680,,"SOFTEC, S.L. SOFTWARE Y TECNOLOGÍA",,
2709,,"ANBIOTEK, S.L.",,
2966,,"TÉCNICA ELECTRÓNICA DE AUTOMATISMO Y MEDIDA, S.A.",,
2221,,"RUIZ Y OTEGUI, S.L.",,
5511,,GALAXIA FACILITIES S.L.,,
2641,,"UNIÓN CONSTRUCTORA Y DESARROLLO URBANO, S.A.",,
2138,,"FACTORY PRODUCCIONES MUSICALES, S.L.",,
2094,,JOSEBA ARAMBURU LOITEGUI,,
2011,,ASOCIACIÓN ETXEAN LAGUNTZEKO ELKARTEA (E.L.E.),,
2123,,EXCAVACIONES ARRASATE SL,,
2311,,CONSTRUCCIONES ZABALANDI SL,,
2212,,"CONSULTORES HOBEST, S.L.",,
2202,,"PAPELCO, S.A.",,
2268,,MICHELENA ARTES GRAFICAS SL,,
2332,,"ROVIFRES, S.L.",,
2157,,FUNDACIÓN LANTEGI BATUAK,,
2175,,DIAGONAL MARKETING Y PUBLICIDAD SL,,
,,,,
2575,,"DISTRIBUCIONES Y SUMINISTROS ALAVA, S.L.",,
2429,,"2008EXCAVACIONES BARRUTIETA, S.L.",,
2163,,"AGINTZARI, SOCIEDAD COOPERATIVA DE INICIATIVA SOCIAL",,
2445,,"ALBOKA, S. COOP.",,
2415,,"CONSULTING AND DEVELOPMENT, S.A.",,
1463,,"GUIPUZCOANA DE RESTAURACIONES, S.A.",,
2338,,"EKO ARABA, S.L.",,
2514,,PEDRO MANUEL ELCINTO RUIZ,,
276,,"EXCAVACIONES CANTÁBRICAS, S.A.",,
2110,,"JORGE MARTÍN NIETO, S.L.",,
4016,,"AMUITZ BERRIKUNTAK, S.L.",,
3852,,CONSULTORIA AIZAK SL,,
3803,,"CALEFACCIONES BEITIA, S.A.",,
3652,,"CAFRIVENT, S.L.",,
3766,,"ACOMETIDAS Y TENDIDOS, S.L.",,
3811,,"ÁREA MÉDICA, S.L.",,
5981,,GAZTELUPEKO HOTSAK SL,,
2087,,"IBÉRICA DE MANTENIMIENTO, S.A.",,
3800,,"ONMOTIVA COMUNICACIÓN Y PUBLICIDAD INTEGRAL, S.L.",,
3984,,"MIESA INGENIERÍA, S.L.",,
4327,,"ELIER BUS, S.L.",,
3992,,"CONSTRUCCIONES EGUNEZ, S.L.",,
3523,,"LILLY, S.A.",,
3717,,"ABARTIA TEAM, S.L.",,
7152,,"SANDOZ FARMACÉUTICA, S.A",,
,,,,
3576,,NORMICRO SL,,
3921,,"ZAUNK, S.L.",,
3750,,GESTION 10 GESTION & FORMACIÓN S.L.,,
3793,,"CIANOPLAN, S.L.",,
4225,,"AUTOYON, S.L.",,
4095,,"SUPPERSTUDIO, S.L.L.",,
4282,,"COOPER CARS, SOCIEDAD COOPERATIVA LIMITADA",,
3696,,"KSB SERVICE SUCIBA, S.L.U.",,
3801,,"OIARTZ IGELTSERITZA, S.L.",,
3809,,"EUROPEA DE TRABAJOS FORESTALES, S.L.",,
5255,,"API MOVILIDAD, S.A.",,
3872,,"TXINGURRI BUS, S.L.L.",,
4314,,"NTT DATA SPAIN, S.L.",,
3661,,"URMAN PROYECTOS Y OBRAS, S.A.",,
3991,,"CONSTRUCCIONES CONAFE, S.L.",,
3310,,"MEDELNOR, S.L.",,
3348,,"IMPRENTA ABADIÑO, S.L.L.",,
6469,,HAZKUNDE S.L.,,
3442,,"ELKAR HIRU ERAINKUNTZAK, S.L.",,
3611,,"ETXESOFT TECHNOLOGIES & CONSULTING, S.L.",,
3248,,"ORSADE, S.A.",,
3493,,"AZSE, S.L.",,
3963,,"ANTONIO BLANCO E HIJOS, S.L.",,
3472,,"IKOM IRUDI ETA KOMUNIKAZIOA, S.L.",,
2499,,"EKOLAN 2000, S.L.",,
,,,,
3758,,"AERONAVAL DE CONSTRUCCIONES E INSTALACIONES, S.A.",,
3438,,"OLETA ETXEGINTZA, S.L.",,
3742,,"LIMPIEZAS TXINDOKI 2001, S.L.",,
3288,,"CODE INTEGRAL, S.L.",,
3557,,"EYA SOFTWARE, S.A.",,
3349,,"CONSTRUCCIONES LANDETANE, S.L.",,
3555,,"CONSTRUCCIONES ZURLAN 2000, S.L.",,
3580,,"AARE SERVICIOS CULTURALES, S.L.",,
3235,,"97 S&F, S.L.",,
3370,,"GAS BILBAO, S.A.",,
3604,,EMAUS BILBAO SOCIEDAD COOPERATIVA DE INICIATIVA SOCIAL,,
3677,,JOSÉ EDILBERTO RINCON MARTINEZ,,
4591,,"MEDICAL MIX, S.L.",,
3455,,"ALBAÑILERÍA Y CONSTRUCCIONES VALPO, S.L.",,
3466,,"GASTEIZ DE VIGILANCIA, S.L.",,
3467,,INGENIERIA DE SEGURIDAD DE VITORIA Y ALAVA S. L.,,
3476,,"ACCESORIOS INDUSTRIALES RIMA, S.L.",,
3282,,"LANSEGUR CORREDURÍA DE SEGUROS, S.L.",,
3897,,"EUSKO EVENTS, S.L.",,
3892,,JORGE MIGUEL BENGOA BARRUTIA,,
3484,,"PESA BIZKAIA, S.A.",,
4468,,"TREVIÑO GESTIÓN, S.L.U.",,
5178,,JOSÉ ALTUNA MENDIZABAL,,
5547,,INGEBOST S.L.,,
5563,,COMUNICACION CREATIVA CONTRASTE SA,,
,,,,
5293,,"KPMG ASESORES, S.L.",,
6027,,"PIXEL IKUS-ENTZUNEZKO EKOIZPENAK, S.L.",,
5172,,"ISLA GRÚAS, S.L.",,
5418,,ROTIMI ADETUNJI ALUKO,,
5534,,LOGHOSPITAL S.L,,
5704,,ALISEA ESCO S.A.,,
5386,,"GALTIER, S.L.",,
5331,,ALICIA RODRIGUEZ GIL,,
5351,,AUTO REPARACIONES GAMARRA S.L.,,
5023,,"LA DEBACLE, S.L.",,
5193,,"NIRCO, S.L.",,
5035,,"TELEFONIA EMPRESARIAL, S.L.",,
4926,,"LORABERRI, S.L.",,
5632,,"ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",,
5598,,CARNICAS CONCHI S.L.,,
5624,,"ANBAR INGENIERIA INSTALACIONES Y MANTENIMIENTO, S.L.U.",,
5581,,MATERLAB S.L.,,
5616,,"INDENORT PV, S.L.",,
5388,,JOTAMAS EVENTOS S.L.,,
5597,,"C&P-AVADANTIS, S.L.",,
5275,,"TELNOR, S.L.",,
5289,,"EINKOR TEKNOLOGIA, S.L.",,
5381,,"GRÁFICAS INGUGOM, S.L.",,
5484,,"TRANSPORTES AMEZAGA, S.L.",,
5499,,"LEICA MICROSISTEMAS, S.L.U.",,
,,,,
5728,,"GRÁFICAS JUARISTI, S.L.",,
5717,,"ROTULO Y METAL, S.L.",,
4969,,"MOTOR VITORIA, S.A.",,
5500,,"OBRAS Y SERVICIOS BASAURI, S.L.",,
5126,,"AMOVENS SOLUCIONES, S.L.",,
4994,,"ARRETAZ, S.L.",,
2844,,"URINVE, S.L.",,
4815,,Juan Ignacio Gómez Moreno,,
2368,,"NEXUS PUBLICIDAD & MARKETING ESTRATEGICO, S.L.",,
2638,,"ZEROVIRTUAL, S.L.",,
2154,,"COTEGUI, S.A.L.",,
5062,,"LOYOLA SIGLO XXI, S.L.",,
4693,,"SEGURIDAD INCENDIOS SERCOIN, S.A.",,
4684,,GRUAS IRATXE S L,,
4653,,"LABORATORIOS VIIV HEALTHCARE, S.L.",,
2536,,"EXCAVACIONES Y TRANSPORTES ORSA, S.L.",,
5447,,"JAUREGUIZAR PROMOCION Y GESTION INMOBILIARIA,S.L.",,
4871,,BUNT PLANET S.L.,,
4313,,"PORTIBUS, S.L.",,
4921,,"ELEKTRIZITATEA ONYI, S.L.",,
4409,,"VIFOR PHARMA ESPAÑA, S.L.",,
4995,,"TUBERIAS UNSASA 210, S.L.",,
4247,,"PROYECTOS DE DESARROLLO COMERCIAL GARAPEN, S.A.",,
7675,,"DISA 2000, S.L.",,
4274,,"CONSTRUCCIONES ATLAS NORTE, S.L.",,
,,,,
4642,,"LURBASO LORESAILTZA, S.L.",,
4904,,ELENA ORTIZ DE LEJARAZU MONTOYA,,
4305,,"C.P. PROXIMITY MADRID, S.L.",,
4434,,"DESTRUDATOS CONFIDENCIAL, S.L.",,
4797,,"DATACLOUD NORTE, S.L.",,
5543,,LANGEST SL,,
4827,,"ALENTIA BIOTECH, S.L.",,
4850,,FUNDACIÓN CANÓNICA AUTÓNOMA EDE,,
4587,,"LANCHAS BUS, S.L.",,
4853,,"INCHARGE IBÉRICA, S.L.",,
4515,,"ALTIA CONSULTORES, S.A.",,
4611,,JOSE ANDRES ORTIZ FRANCO,,
4676,,"LIMPIEZAS BASAURI, S.L.",,
6442,,GORKA DE BERISTAIN MORAN,,
6475,,Cristina Ubani Bazán,,
6293,,"EUROFINS IPROMA, S.L.U",,
6410,,YOLANDA SOBRON LARRIMBE,,
7856,,"LASTUR BOOKIN, S.L.",,
6711,,"DESARROLLOS GRUPO ERBAUER, S.L.",,
6225,,CONSULTING ASISTENCIAL SOCIOSANITARIO S.L.,,
6332,,GOIKUS KUDEAKETA S.L.,,
6466,,AVENTO CONSULTORIA SL,,
6431,,"GOIKOETXEA ELEKTRIZITATE INSTALAKUNTZAK, S.L.",,
7637,,"CENTRO INDEPENDIENTE DE SUMINISTROS Y ABASTECIMIENTOS, S.L.",,
6504,,"CONSTRUCCIONES OJEMBARRENA, S.L.",,
,,,,
6447,,ASCROIN S.A.,,
7532,,"DISTRAUMA MEDICAL, S.L.",,
6250,,"BERRIZARKITEKTOAK ARKITEKTURA ETA HIRIGINTZA, S.L.PROFESIONAL",,
7140,,PAUL ALBERDI ECHEBARRIA,,
6825,,"PUERTAS Y CIERRES, S.A.",,
6807,,FERNANDO DÍEZ CANTERO,,
6251,,FITSHOP IBERICA SL,,
6297,,OARSO CAR S.L.,,
8176,,SPEAK SMILE IDIOMAS SL,,
6205,,"GONZALEZ CAVIA Y CABRERA-ARQUITECTURA, URBANISMO Y PAISAJE S.L.",,
6732,,"3000-54 ARQUITECTOS, S.L.",,
6772,,"BABCOCK MISSION CRITICAL SERVICES ESPAÑA, S.A.",,
6222,,NORCESPED SL,,
6644,,"HELI-TRANS PYRINEES,S.L.U.",,
6437,,LEIRE OIAGA GOIA,,
8352,,"AREAK, S.L.",,
5756,,"ERABE INGENIARITZA ETA ARKITEKTURA, S.L.",,
5750,,JUAN JOSÉ GARCÍA GARCÍA,,
5788,,ATOS MEDICAL SPAIN S.L.,,
5977,,"TECNOMED 2000, S.L.",,
5840,,"JAMENET SOLUTIONS, S.L.",,
5869,,ZALOA ARANZABAL IBACETA,,
5809,,PEDRO MORAL RUEDA,,
4936,,ESTUDIOS Y OBRAS RECALDE SL,,
5751,,ANTTON ARANBURU OSORIO,,
,,,,
5874,,"HEGALA NORTE, S.L.",,
5913,,JON ZUBIZARRETA ALDAYA,,
5679,,IKASBILA S.COOP.P.,,
7593,,"TRANSQUIMICA,S.A.",,
6009,,GVB-SPES ESPO S.L.,,
5794,,ANIMAZIO ZERBITZUA ASTIXA S.L,,
5903,,SONIA SANZ DÍEZ,,
5739,,"DE LA I. A LAS EQUIS, S.L",,
5824,,ASOCIACION BCAM-BASQUE CENTER FOR APPLIED MATHEMATICS,,
6024,,ERRO AMARO TECNICOS EN ARQUITECTURA E INGENIERIA S.L.P,,
6691,,"GIZATZEN, S.A.",,
6866,,"ELIANCE HELICOPTER GLOBAL SERVICES, S.L.",,
5825,,"LABOMED-AZ, S.L.",,
5974,,BRANKA SOLUTIONS S.L.,,
7208,,"INGENIERIA CRUZ MARQUÉS, S.L.P.",,
7136,,"TRAIL INGENIEROS, S.L.",,
7215,,"ELITTORAL ESTUDIOS DE INGENIERÍA COSTERA Y OCEANOGRÁFICA, S.L.",,
7078,,"CONTENUR, S.L.",,
7027,,"P&V, S.A.",,
7338,,BARTOLOME CRESPI SANTANDREU,,
6796,,FUNDACION GIZAGUNE,,
6816,,ZUBIGUNE FUNDAZIOA,,
7361,,CERO RESIDUOS ORGÁNICOS,,
7045,,"LABORATORIOS RUBIÓ, S.A.",,
7129,,"ONDATA INTERNATIONAL, S.L.",,
,,,,
7063,,JAVIER CUEVAS SOLAGAISTUA,,
6814,,GEU GASTEIZ EUSKALDUNA ELKARTEA,,
6888,,SAN JUAN GRUPO SERVICIOS EMPRESARIALES SL,,
7115,,"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A.",,
7128,,"VERSO INGENIERÍA, S.L.",,
7221,,"NAPARRA BERGARA, S.L.U.",,
8356,,"INSTITUTO AUDITIVO SALESA, S.L.",,
8465,,"ABELLA LEGAL, S.L.",,
6668,,AGC ASESORAMIENTO Y GESTIÓN CIBERNÉTICA,,
7094,,INMEDIOBAI S.L.,,
7060,,"ATEKA INICIATIVAS Y PROYECTOS SOCIALES, S.L.",,
6779,,"ESCARATE ASESORES, S.L.",,
6802,,"EXCAVACIONES PRIORSA, S.L.",,
6649,,"AIDA SOUND, S.L.",,
6943,,"ARAN SERVICIOS MEDIOAMBIENTALES, S.L.",,
6817,,FEDERICO JOSÉ SORIANO PELÁEZ,,
6384,,SERGALU 21 S.L.,,
6728,,"NICE PLACE, S.L.U",,
6836,,"CGRUIZ ARQUITECTOS, S.L.P.",,
6685,,"VERNE SERVICIOS DE ARQUITECTURA, S.L.P.",,
6765,,ENEKO ARIZ LOPEZ DE CASTRO,,
6821,,JUAN CARLOS MALET RODRIGUEZ,,
7252,,"BLUSPECS, S.L.",,
6679,,PABLO CANALES ROMERO,,
6788,,HEZI2DE KOOPERATIBA ELKARTE TXIKIA,,
,,,,
6912,,"BARBO ENERGÍAS RENOVABLES, S.A.U.",,
6552,,ZETABI ARKITEKTURA BULEGOA S.L.P.,,
6629,,TRAFOBER SOCIEDAD LIMITADA,,
6805,,"CENTRO DE EMERGENCIAS, SALVAMENTO Y SOCORRISMO",,
7825,,"SASOI-SPORT, S.L.",,
7779,,"DANICO EVENTS 2020, S.L.",,
7713,,"REVENGA SEGURIDAD, S.A.",,
8009,,"APOLO CENTRO DEPORTIVO ISCAR, S.L.",,
7682,,LUIS PABLO LOPEZ-ABADIA RODRIGO,,
7918,,"CASCO ANTIGUO COMERCIAL, S.L.",,
8011,,"IGUANA INFORMATION TECHNOLOGIES, S.L.",,
8027,,"AVAM PROPIEDADES FAMILIARES, S.L.",,
7915,,"JOSTARI SERVICIOS CULTURALES Y DEPORTIVOS, S.L.",,
7879,,"FERRETERIA MARAÑON, S.L.",,
8078,,"OFITAS DE SANTUTIS, S.L.",,
7933,,"THR ASESORES EN TURISMO, HOTELERIA Y RECREACION, S.A.",,
7944,,"JOSE SERRANO REINA, S.L.",,
7946,,OLAIA ABAD RUIZ,,
7611,,"METAINNOVA SOLUTIONS, S.L.U.",,
7652,,"SOLUCIONES INTEGRALES PARA COCINAS PROFESIONALES, S.L.",,
7707,,"SUR-INNOPACK, S.L.",,
7967,,OSARTEN KOOPERATIBA ELKARTEA,,
7631,,"SERYE INGENIEROS, S.L.",,
7976,,"SAKURA FINETEK SPAIN, S.L.",,
7989,,SILVIA DIANA COBZARU,,
,,,,
8298,,"SUMINISTROS DENTALES ANTON, S.L.",,
7995,,"SERKIDE SERVICIOS INTEGRALES, S.L.",,
7997,,"RCS ARQUITECTURA Y PREVENCION, S.L.",,
7553,,"CITELUM IBERICA, S.A.",,
7603,,"EFIBLUE TEAM, S.L.",,
7251,,"EKAIA EKO-GESTIÓN, S.C.",,
7455,,"REHAB EUROPA, S.L.",,
7492,,EFOR GLOBAL TECHNOLOGY S.L.,,
7589,,"IKERPARTNERS, S.A.",,
7524,,PETER WILLIAM ROBERTS,,
7392,,"CADILAN 2.010, S.L.",,
7456,,"ESRI ESPAÑA SOLUCIONES GEOESPACIALES, S.L.",,
7323,,"MEDANCLI, S.L.",,
7499,,"ATARFIL, S.L.",,
7526,,SANTIAGO PEÑALBA GARMENDIA,,
7414,,"NATRUS, S.L.",,
8729,,ASAKEN S. COOP.,,
7288,,"BAZZANIA S.C., INVESTIGACIÓN Y GESTIÓN EN BIODIVERSIDAD",,
7378,,"S2 GRUPO DE INNOVACIÓN EN PROCESOS ORGANIZATIVOS, S.L.",,
7481,,"UNAGO PROJECTS, S.L.",,
7331,,"SAVIA PROYECTOS Y MANTENIMIENTOS, S.L.",,
7407,,"CARPINTERIA METALICA LAN-LEKU, SOCIEDAD LIMITADA",,
6031,,"ADIMEN INVESTIGACIÓN, S.L.",,
8642,,IVAN CAMPON BACAICOA,,
8492,,"TALLERES OLABIDE, S.L.",,
,,,,
8578,,"OBREMO SEWERIN, S.L.",,
8763,,"VIUDA DE SAINZ, S.L.",,
8850,,INESCO SA,,
8752,,"BIOMAG COMPUTER, S.L.",,
8790,,FRANCISCO JAVIER FERNANDEZ FERNANDEZ,,
8798,,"AVL IBERICA, S.A.",,
8691,,"LABORATOIRE LAREDO, S.L.",,
8499,,LEIOA-76 SL,,
8193,,ALVARO APILANEZ PINEDO,,
8204,,FREEDOM FOR KNOWLEDGE AND TECHNOLOGIES SOCIEDAD LIMITADA,,
8567,,"SERRANO APLICACION DE PINTURAS, S.L.",,
8887,,"LAUFFORSITE, S.L.",,
8244,,JOSEBA IMANOL CASTRO ROJO,,
8715,,"HIERROS ABRA, S.L.",,
8830,,"CUBIERTAS PEJUAL, S.L.",,
8460,,"TEKNEI INFORMATION TECHNOLOGY, S.L.",,
8384,,"HORWATH ART CONSULTING SPAIN, S.L.",,
8323,,"CAPACITIES AND SKILLS ADVANCED BUSINESS SCHOOL, S.L.",,
8112,,"TAPERSTUDIO ARKITEKTURA, S.L.",,
8350,,"BE-SURFER, S.L.",,
8141,,AVENET IT S.L.,,
8699,,"GALEA ELECTRIC, S.L.",,
8427,,ODUTENT SOCIEDAD LIMITADA,,
8640,,LUIS MANUEL QUERO MILLAN,,
8192,,ELENA LOPEZ GARCIA,,
,,,,
8817,,"CONTROL AMBIENTAL BIOTIK, S.L.",,
8629,,FUNDACION MIRANDA,,
8683,,"CONSTRUCCION Y ARQUITECTURA GERKOA, S.L.",,
8864,,"NAVEN INGENIEROS NORTE, S.L.",,
8311,,TTUR TTUR EUSKALTZALEON BILGUNEA KULTUR ELKARTEA,,
8455,,NEXUS AUDIOVISUAL SL,,
8884,,"INES MULLIEZ CORELLA, S.A.",,
8561,,"OREIN SOLUZIOAK, S.L.",,
8369,,"R M RIOJA, S.L.",,
8747,,ATEZABAL KOOP ELK TXIKIA,,
8458,,SARACHAGA SISTEMAS INTEGRADOS SL,,
8616,,"REM-IRU, S.L.",,
8890,,"BIOGEN CIENTIFICA, S.L.",,
8548,,DOMINGO AQUESOLO VIZCARGUENAGA,,
8558,,"ZENTRIPETA, S.L.",,
1455,,"GIROLAN, S.L.",,
3198,,"REFORMAS UNAI, S.L.",,
721,,"IMPRENTA GUIMERÁ, S.A.",,
634,,"BEORTEK, S.A.",,
19,,"ONDARRA, S.A.",,
1782,,"GRUPO EYERRE, S.L.",,
122,,"CONSTRUCCIONES RONTEGUI, S.A.",,
310,,"ZAMAKOA, S.A.",,
850,,"SERCOIN SISTEMAS DE SEGURIDAD, S.A.",,
2030,,"AUTOCARES LOYOLA, S.L.",,
,,,,
2149,,"IKAUR, S.L.",,
1540,,"INSTITUTO GRIFOLS, S.A.",,
2298,,"PREVENCILAN, S.L.",,
1588,,"BOSCH TELECOM SEGURIDAD, S.L.",,
1431,,JOSÉ ÁNGEL DÍAZ DÍAZ DE JUNGUITU,,
1686,,"SERVICIOS INTEGRALES DERECO, S.L.",,
1779,,"CP PROYECTOS Y SERVICIOS, S.L.",,
855,,"VENTICLIMA, S.A.",,
1206,,"BITEZ, S.L.",,
1547,,"AUTOBUSES CUADRA, S.A.",,
990,,"IPURU, S.L.",,
1158,,"OXOID, S.A.",,
1507,,"HOSTELMAR NORTE, S.L.",,
1737,,"ACCION ZERO DE CULTURA Y SOCIEDAD, S.L.",,
1044,,MARTÍN GARCÉS OTERO,,
1856,,"VALEANT PHARMACEUTICALS IBÉRICA, S.A.",,
2043,,"GLOBAL EQUIPAMIENTO Y MOBILIARIO CONTEMPORÁNEOS, S.L.",,
687,,"REPRODUCCIONES L'ARTE, S.A.",,
1919,,"BILBOMICRO INFORMÁTICA, S.A.",,
601,,"DISTRIBUIDORA DE MATERIAL DIDÁCTICO, S.A.",,
6333,,"MALICAR, S.A.",,
1470,,"CONSTRUCCIONES EGIN, S.L.",,
231,,"CONSTRUCCIONES URBE, S.L.",,
1702,,EDUARDO MONTOYA GARCÍA-BAQUERO,,
1961,,"THALES INFORMATION SYSTEMS BILBAO, S.A. (Sociedad Unipersonal)",,
,,,,
1631,,"CONTRATAS Y VENTAS, S.A.",,
816,,"ESTUDIO ATLAS, S.L.",,
1276,,"TÉCNICOS CONSTRUCTORES DEL NORTE, S.A. (TECONOR, S.A.)",,
1614,,"MERCK FARMA Y QUÍMICA, S.A.",,
1852,,"BILBOMAN, S.L.",,
196,,ELHUYAR KULTUR ELKARTEA,,
1974,,"LABORATORIOS BROMATOLÓGICOS ARABA, S.A.U.",,
2028,,"FEBIDE, S.A.",,
422,,"PRODUCTOS Y APARATOS CIENTÍFICOS E INDUSTRIALES, S.A. (P.A.C.I.S.A.)",,
2293,,"AEXA OBRAS Y SERVICIOS, S.L.",,
1910,,"NORTE INDUSTRIAL, S.A.",,
2214,,"CLIMATIZACIÓN VASA SERVICIOS ENERGÉTICOS, S.L.",,
4956,,"MONTAJES ELECTRICOS LLODIO, S.L.",,
2726,,"DECONS GKAO, S.L.",,
828,,"HAWKER-OLDHAM, S.A.",,
1757,,"NOVICO MÉDICA, S.A.",,
700,,"CANON ESPAÑA, S.A.",,
1793,,"BILBOFRES, S.L.",,
1076,,"ARGALARIO, S.A.",,
383,,"DISTRIBUCIÓN DE MÉDICA GUIPUZCOANA, S.L.",,
2049,,"MÖLNLYCKE HEALTH CARE, S.L.",,
1086,,FERIA INTERNACIONAL DE MUESTRAS DE BILBAO / BILBOKO NAZIOARTEKO ERAKUSTAZOKA,,
1803,,"URBASER, S.A.",,
2105,,"M.R.M. COMERCIAL, S.A.",,
2010,,"AUDIOVISUALES EXTREMIANA, S.L.",,
,,,,
2940,,"LABORATORIOS CAIR ESPAÑA, S.L.",,
2836,,"XXI INVESLAN, S.L.",,
3018,,"GRUPO CRESME, S.A.",,
3176,,"MINUARTIA, ESTUDIS AMBIENTALS, S.L.",,
1075,,AMBULANCIAS GIPUZKOA SCOOP,,
3070,,"C.I.G. OBRA CIVIL, S.L.",,
3188,,"EKOS ESTUDIOS AMBIENTALES, S.L.",,
3179,,"ASCENSORES URBIL, S.A.",,
2892,,"SECTOR VERTICAL, S.L.",,
3045,,"SOLUZIONA, S.A.",,
2945,,"PROYECTOS Y SUMINISTROS ALAVESES, S.L.",,
