Número inscripción,,Denominación social,,
1010,,"EMARTIN FACILITIES, S.A.",,
2498,,EUSKO INSTELEC 2000 S.A.,,
1811,,"PROYECTOS E INSTALACIONES DE DESALACIÓN, S.A.",,
2585,,"ITEON SISTEMAS, S.L.",,
891,,"LORCA MARÍN, S.A.",,
2258,,"EUSKO MARITIMA, S.L.",,
2548,,"FRESENIUS KABI ESPAÑA, S.A.",,
2459,,"TALAPE PRODUCCIONES AUDIOVISUALES, TPA, S.L.",,
2527,,"EUSKALTRANS, S.L.",,
2520,,"OCHANDI, S.L.",,
,,,,
2223,,"COOK & SERVICES HOSTELERÍA, S.L.",,
2439,,"PINTURAS Y RECUBRIMIENTOS URSAN, S.L.",,
2003,,LEANDRO GOMEZ SOCIEDAD LIMITADA,,
2456,,"AKI DECORACIÓN, S.L.",,
2224,,"COMPAÑÍA ESPAÑOLA DE SERVICIOS PÚBLICOS AUXILIARES, S.A.",,
2581,,"INSTALACIONES FOJANSA, S.L.",,
2570,,"NEXTEL, S.A.",,
2134,,"VIALES DE NAVARRA, S.A.",,
2106,,"INSTALACIONES REG, S.L.",,
2425,,"PAPEL BASK, S.L.",,
2472,,"BABCOCK-MONTAJES, S.A.",,
2516,,"ASMATU XXI COMUNICACIÓN Y MARKETING, S.L.",,
1485,,"DECORACIÓN DULSA, S.L.",,
2598,,"ELECTRICIDAD IDAR, S.COOP.",,
3303,,"SUQUISA, S.L.U",,
183,,"SERVICIOS DE MANTENIMIENTO INTEGRAL, S.A.",,
1900,,"CONSUMIBLES Y ELECTRÓNICA CLÍNICA, S.L.",,
2535,,"TALLERES TORBI 2000, S.L.",,
1885,,"CENTERPULSE IBERICA, S.A.",,
2407,,"F.I. EXCAVACIONES Y REFORESTACIONES, S.L.",,
3668,,"AQUIA SOLUCIONES DE COMUNICACION, S.A.",,
3840,,"SEKY INGENIERÍA DE SEGURIDAD 2006, S.L.",,
5037,,CONSTRUCCIONES JC MENDIOLA S.L.,,
